;Entity A;Entity B;Label
7272;57192;C0023806;1
3309;3845;C3645536;0
6967;7450;C4721436;0
4421;5921;C1843181;1
944;1200;C0002395;1
4959;55165;C0006142;0
5299;7157;C0345904;1
2093;2571;C0004352;1
1024;1294;C0079136;1
5623;5950;C3463824;0
5084;7015;C0206686;1
5321;57410;C2697932;0
6364;6774;C0004352;0
5921;9187;C3495587;1
2027;242;C1860789;0
5998;9581;C0751883;1
6773;7169;C0270911;0
6322;673;C0162309;0
325;372;C4310686;1
2955;3845;C0376358;1
1043;1301;C0432272;1
1141;1829;C0035334;0
6156;6583;C3536797;0
3592;4771;C1136041;1
498;1201;C1720956;0
5474;5830;C1839071;0
7654;81031;C4707243;1
1898;2253;C0220704;1
3596;4771;C4048809;1
1408;2065;C1858351;0
2328;2896;C1850792;1
4843;54756;C4554007;0
3026;3952;C0002395;1
5147;5604;C0003873;0
19;100134444;C0003873;0
3255;3777;C0878682;0
531;650;C0265534;1
7229;56616;C0376358;1
1249;1559;C0750384;1
21;10019;C0007131;0
5663;5981;C0376358;0
5704;8301;C0023467;1
2380;27229;C0026010;0
5432;58;C0002395;0
4374;5885;C1860789;1
2280;2672;C0001973;0
5506;5888;C0752124;0
971;1636;C0009402;0
5287;5728;C0029459;0
6806;29980;C1855079;1
4537;6204;C2750081;1
860;151;C0343073;0
2084;2562;C0004352;1
251;10653;C1704417;0
5231;56916;C0587248;0
8046;9581;C0221356;0
2469;3145;C2936779;1
4710;540;C0265219;0
882;154;C0162872;0
2389;27249;C3151303;0
3815;4544;C0022716;0
2711;3098;C0752123;0
2728;3119;C2239176;0
214;10519;C2931009;0
1047;1301;C3541456;1
6800;29967;C0270952;1
2073;2556;C0004352;1
2860;3717;C4048328;1
5162;7042;C2697932;1
364;472;C0025149;1
5984;9509;C0345967;1
6086;65217;C0342482;0
1555;1956;C0152013;1
3836;5111;C1858391;1
7575;79803;C3888007;1
1039;1758;C3280670;0
6721;27030;C0009402;1
3032;3553;C1720859;0
320;10815;C0020072;0
5953;9378;C1970431;1
641;1352;C0152013;0
5496;7468;C0006142;1
2549;2898;C0024145;0
1895;2248;C2239176;1
6140;657;C0206624;0
5128;7037;C0024305;1
3941;5244;C0566602;1
1974;2296;C1866560;1
7086;775;C0175707;0
4738;5429;C0015625;0
482;596;C0013366;1
5749;8452;C0376358;1
5026;6925;C0036341;1
7058;54902;C3554605;1
5193;5649;C1866040;0
7981;9364;C0001973;0
2897;3417;C0345967;0
7367;8120;C1853761;0
5566;5921;C4721532;0
5796;8660;C0025149;1
5267;57216;C1842983;0
1217;1906;C3665349;0
146;207;C0029463;1
972;1639;C3551954;0
5364;7248;C0751779;1
5099;55835;C0010674;0
7667;8540;C4552070;0
3169;4163;C0004352;1
2943;3458;C4552072;0
5524;5894;C0348626;0
7073;55033;C0268342;1
4219;5605;C0028326;1
8100;343641;C0752125;1
4314;51083;C2936783;0
5741;8431;C0028754;1
6239;10397;C0279702;1
4133;5468;C0004763;1
64;94;C3203102;1
3951;471;C0009402;0
2714;3107;C1862941;0
6436;6855;C2697932;0
3625;427;C1800706;0
6152;10021;C4707243;1
7331;57688;C4693405;1
7944;92482;C0006142;0
4245;50628;C0751291;0
6803;29968;C0152013;1
5961;64240;C1866558;0
5352;57514;C0004352;0
1306;2;C0795907;0
4779;6584;C0268579;1
2820;3265;C0036341;0
4428;5922;C3501846;1
419;554;C1563706;1
803;1487;C3837958;0
2927;3458;C1168401;0
1528;2122;C4551952;0
2926;3458;C0221356;0
6934;7414;C0036341;0
7213;55967;C1850597;1
1661;2064;C0152013;1
7609;80025;C0036341;1
1642;2053;C0036341;1
2017;2332;C0751156;1
3225;374654;C1708349;0
6175;6591;C2751763;0
3997;4729;C0085580;0
7728;84433;C0279702;1
5807;627;C0268237;0
5529;5894;C0030044;0
2403;3070;C0152013;1
5315;5741;C1856059;0
2500;284439;C0019202;0
3323;3845;C4520892;0
1523;1910;C1838099;1
4734;5428;C0238198;0
4667;6389;C1850598;1
3879;5160;C2931891;1
827;1495;C2239176;0
7730;84464;C0023467;1
3828;4552;C0752121;0
1702;2261;C0751396;0
3674;4312;C0733682;0
2659;3043;C0345904;0
845;1026;C0279626;1
6365;10891;C0752347;1
1701;2261;C0006142;0
558;1281;C1504412;0
518;633;C0003873;1
6490;23114;C0036341;1
2578;29089;C2713442;0
1376;2053;C4707243;0
4072;5376;C0393702;1
7350;8085;C4748137;0
7072;55005;C0006142;1
2125;25828;C0699791;0
17;100131801;C1140680;0
3912;5194;C3554000;1
5934;6399;C0019202;0
6679;26154;C0009402;1
6248;10413;C1168401;1
4116;4864;C0376358;0
3195;4233;C0023467;1
4727;6513;C1851936;1
3762;4968;C0751208;1
6965;54084;C3553932;1
2654;3481;C0009402;1
5008;6888;C2239176;1
4279;5728;C0004352;1
6829;50937;C3179349;1
598;675;C0684249;1
5146;7040;C0024117;1
1806;23095;C2748542;0
3821;5083;C4722327;1
1461;2077;C1832175;0
847;1026;C0376358;1
2318;27022;C0796250;0
674;790;C0002875;1
4538;5245;C1857355;0
3597;4214;C1836743;0
2609;3458;C0004352;1
3161;4143;C3151058;1
1212;19;C1844376;0
1707;2263;C0025286;0
6370;6774;C0232981;0
3928;4694;C1856405;0
906;1120;C0027404;1
3388;4534;C0546264;1
3152;4128;C0751208;1
3325;4436;C0476089;1
6080;6514;C0432272;0
823;999;C1333991;1
4871;54820;C3489396;0
5562;7528;C4048328;1
4120;5444;C0080178;1
6194;6597;C0796074;0
5011;6891;C0036341;1
2946;3476;C0752121;0
6986;7474;C0004352;0
2530;2892;C0004352;0
4198;5000;C0376358;0
2294;2690;C0268568;0
2428;3090;C0751291;1
7800;8878;C0004352;0
684;138050;C0206698;0
4989;6855;C0007131;1
6596;23569;C0003873;1
4890;54894;C4721532;0
3799;5054;C1708349;1
2280;2796;C0342384;1
434;1144;C4551479;0
5462;5824;C0410174;0
6487;23095;C0031511;1
4549;5251;C0684249;0
829;1496;C0026654;0
7232;79796;C0334634;0
6509;6938;C2239176;0
6186;10205;C4748374;1
6509;23193;C2751306;1
4815;546;C1833229;0
1834;2316;C1835614;0
4751;5443;C0276496;0
5031;55699;C2239176;0
3977;5290;C2931822;1
1761;2130;C0376358;1
7651;8504;C1857781;0
5506;7474;C4721509;1
5604;7965;C0037769;1
4478;5994;C1859537;1
479;596;C0006142;1
3113;359;C0032580;0
3014;3918;C0079297;1
3020;355;C2751316;0
5993;9568;C0004352;1
3237;375790;C0001973;0
3779;4524;C2239176;0
3227;3752;C1708349;0
412;11315;C1720860;0
120;183;C0035344;1
3054;3559;C1843183;0
3350;4488;C0010278;1
6114;6532;C1148551;0
5729;6095;C1858991;0
2264;2779;C1850362;1
7780;8803;C3489396;0
2442;3107;C1867449;1
1123;1815;C0009402;0
5898;9096;C1840451;1
589;1294;C0268281;0
4639;6335;C4551549;1
1892;23395;C1704417;0
661;1356;C0476089;0
5473;7431;C0006142;1
6906;7372;C4225200;0
1692;2072;C0023467;1
6143;10019;C3837958;1
4963;5518;C0276496;0
1381;2056;C1510586;0
8071;9719;C1621958;0
4889;6690;C0376358;1
3703;4878;C2677294;1
699;841;C1961102;1
2253;2778;C0001206;1
7694;83990;C0023467;1
837;1499;C0242387;0
4353;51256;C0206686;0
6941;51741;C0276496;1
6593;23530;C0342482;1
6233;10395;C1140680;1
7787;8842;C0376358;0
23;31;C2239176;1
3652;4306;C0001973;0
5640;596;C2239176;0
6725;27030;C2936783;1
3522;4091;C0036341;0
2334;2898;C1621958;1
3156;4137;C2239176;1
4112;5443;C0410480;1
5160;7042;C0345967;1
6158;6583;C0087031;0
115;10262;C0036341;0
5866;6329;C4225362;0
564;1282;C0265962;0
258;330;C0334634;1
1835;23171;C3149378;0
7421;8216;C0020474;0
3284;4318;C0024117;1
8070;284217;C0036341;1
2513;2876;C0276496;0
4826;5468;C0013366;0
3801;5058;C0279702;1
5135;7038;C0677607;1
2179;26047;C0028754;0
4725;54209;C0795907;0
7568;79783;C4722327;1
6451;22909;C0009405;1
5747;8443;C0036341;1
3318;4359;C0007959;1
2288;2678;C0023264;0
1639;2052;C2239176;1
7846;894;C0004352;0
775;1471;C0206711;0
710;846;C4551961;1
5854;8912;C0005283;1
4320;51085;C0029459;0
4759;5443;C0009402;0
4101;4853;C1860789;0
5270;7139;C0700053;1
168;10347;C0006142;0
1209;1509;C0279702;1
5918;9187;C1848172;1
666;1371;C0087031;0
6155;658;C1168401;0
5679;6010;C4552079;0
3830;5096;C1449563;1
7761;84879;C2239176;1
4061;5357;C0345904;1
1404;1778;C3501843;1
8109;9786;C1449563;0
5088;7015;C1140680;1
4653;53335;C0346153;0
6936;7421;C0007131;0
4893;6697;C1851920;1
2309;27019;C4225411;0
887;1545;C0265535;0
1616;2178;C0271979;0
1941;23476;C1858991;0
5014;6898;C0268623;1
5015;6899;C0036341;1
5773;6229;C4692845;0
6634;25836;C1853099;1
2193;2706;C0025221;1
3945;4705;C0008312;0
5262;57190;C4722327;0
1691;2260;C2752089;0
1321;1641;C0431375;1
2784;3596;C0004352;1
2907;343641;C0006142;0
69;10128;C2751306;0
4522;5243;C1846784;0
6958;7436;C0087031;0
2345;2906;C0036341;1
5799;6261;C0011860;0
2868;3728;C1832600;1
2544;3273;C0006142;1
4646;6337;C1449842;1
8117;374291;C0023264;1
2546;3284;C0376358;1
1318;2006;C0279626;0
272;336;C1704417;1
79;107;C0149925;1
1682;2067;C1708349;1
7540;841;C0751337;0
1128;182;C0025149;0
1194;1499;C0279626;1
4430;5160;C0752121;0
2716;3559;C3837958;1
4901;5495;C0796117;0
5317;5741;C3151230;0
7100;55163;C0036341;1
5366;57545;C0730295;0
7401;81839;C0265219;0
2131;25861;C2748542;0
5469;7428;C0030421;1
3646;4297;C4552100;0
1686;2068;C0009402;1
1776;2146;C0029463;1
4587;5290;C0024117;0
5012;55636;C2676042;0
2304;2697;C1862939;0
5419;7351;C0028754;1
450;590;C1622434;1
828;1013;C0001973;1
6428;6834;C0376358;0
249;10644;C4310805;0
5887;9037;C0004352;1
6858;7291;C0345967;0
5710;60482;C0015625;0
3334;4437;C1333990;1
7067;54982;C0268281;1
929;1588;C0036341;0
5512;5889;C0376358;0
7043;54894;C0206698;1
5154;7040;C0265287;1
182;10397;C4551804;0
1568;2147;C0752123;0
6839;50964;C0013366;1
6579;23476;C0887850;1
5725;8314;C0345905;1
4837;54704;C0206698;0
3175;4191;C0030421;1
7377;59341;C4551479;1
2482;2811;C3463824;0
188;238;C0279702;1
8005;171023;C3463824;1
3612;4790;C0011860;1
3952;5265;C0024117;1
5304;7157;C0428791;1
3092;4036;C0036341;1
5381;7273;C1837342;1
2580;291;C0025286;0
7208;55904;C0004352;1
5834;6310;C0276496;0
7160;55687;C1838854;1
457;116369;C2750473;0
5760;8516;C0036341;1
6531;7015;C0028754;0
1585;1969;C0175704;1
3888;4625;C0152423;0
6075;9851;C0431399;1
6022;9711;C0752123;1
7487;8314;C3463824;0
8020;9474;C0002395;0
7755;875;C1708349;0
2317;27022;C1510586;0
4751;6531;C1263846;1
1270;1956;C1845987;0
6881;732;C1855869;0
7669;8540;C0036341;0
6896;7351;C0345904;0
6186;6597;C0029456;0
1469;208;C0025237;0
6135;6569;C1850362;0
7868;90411;C1850597;0
5521;5894;C4551952;0
6199;10273;C0752121;1
4673;5371;C3151037;0
4139;4893;C0994516;0
2305;2697;C0752120;0
4271;50814;C0006142;0
3250;4311;C0268390;1
1548;2138;C0175704;0
7778;85476;C1850598;1
4824;6616;C0011860;1
6249;10413;C2239176;1
8064;9702;C3837958;0
5236;5698;C0036069;0
5952;9378;C1510586;1
5212;7097;C0009402;1
1913;2260;C0008924;1
4745;5443;C1956097;0
2699;3553;C1708349;1
1734;2100;C0036341;1
4377;51428;C0376358;0
3835;4594;C1260899;0
4437;5925;C0376358;1
3016;355;C0752125;0
3907;4645;C4748348;0
4845;54768;C1708349;0
5632;8085;C0279626;1
747;144568;C0025149;0
3076;4010;C0036341;1
4652;6342;C1858991;1
2020;2332;C4552079;1
5627;596;C1861098;0
3070;4000;C0751337;1
5630;8085;C0036920;1
1575;1959;C0035372;1
1516;1909;C0152423;1
4960;55172;C0152426;0
2241;2771;C0340485;1
1999;2316;C4707243;1
4357;51294;C0341703;0
1355;1723;C0037889;1
6913;7374;C2700553;0
5006;55605;C0001973;0
3813;4538;C0154832;0
3739;4915;C0027819;1
2824;3265;C3203102;0
5252;7128;C0003873;1
84;111;C0029456;1
7460;64374;C0376358;1
137;196;C1708349;1
3604;4780;C0376358;1
1384;1758;C1862103;1
4614;6323;C4552072;1
4534;6201;C1260899;1
4056;4835;C0007131;0
4446;5959;C0339535;1
4088;4851;C1961102;0
4536;5245;C0276496;0
3169;367;C2675185;0
949;161742;C0345967;0
2880;3756;C0006142;1
7229;79791;C4721893;0
970;1277;C0029456;1
6576;7037;C0036920;0
3911;4669;C1802395;0
2840;3690;C0376358;1
7989;166378;C0036341;1
7130;55505;C0265965;1
2966;3845;C4551602;1
7715;84231;C0345967;1
6516;23236;C3150988;1
6410;11200;C4722327;1
1953;23512;C1857821;0
7585;84464;C0279626;0
6093;65266;C0751884;0
4938;55120;C0917796;0
4402;5156;C1867450;0
1704;2261;C1708349;0
3448;3991;C0566602;0
2023;24140;C1140680;0
6512;6948;C0029459;0
7079;773;C3463824;0
4144;5468;C1720860;1
5383;5770;C1840452;0
7639;80704;C1850597;1
3969;472;C4041558;0
3546;4128;C0020523;0
7851;116442;C0004352;1
2272;2784;C0028754;1
7936;9215;C4084842;0
3740;4915;C0028754;1
567;1282;C0028754;0
343;1106;C1708349;0
3920;5230;C2239176;1
1992;2316;C1845235;1
6343;10771;C4015167;1
2851;3339;C0752120;0
7255;79867;C0751036;0
140;204;C2700553;1
7696;861;C0027819;0
2577;2908;C0752123;0
7266;7994;C0004352;0
7114;7837;C0035334;0
7422;8216;C0027819;0
995;1281;C4707243;1
6418;6833;C0008924;0
1007;1717;C0009324;0
5664;5993;C2751493;0
3095;3586;C1846175;0
2726;3569;C0010346;1
2215;2735;C0238198;1
478;596;C0004352;1
1172;1495;C0009405;1
692;841;C0006142;1
5459;582;C4721952;0
8087;9742;C1838429;0
5242;57017;C1168401;0
3315;4353;C2239176;1
1816;2165;C0042487;1
273;338;C0004943;1
3653;4851;C0005684;1
2889;3417;C0279626;0
6954;7431;C1865370;0
7849;116150;C4693371;1
5205;7080;C0007131;1
1425;1788;C1510586;1
6790;7189;C0004352;0
1180;1861;C0376358;0
2217;2627;C0376358;0
3570;4744;C1862941;1
4929;55036;C0751291;0
2912;344;C0152013;0
6297;10653;C0152426;1
7555;79728;C1333991;1
5646;5961;C0006413;0
4881;54870;C0005684;0
1243;1910;C0025149;0
841;1021;C1621958;1
4162;4914;C2751092;0
1202;1499;C4048328;1
7181;79621;C1136042;0
1220;1906;C4721952;0
998;1282;C0265341;1
6835;50943;C0003873;1
4724;6513;C0345904;1
5399;7291;C1708349;1
828;1495;C0279626;0
7210;79728;C0035344;0
7963;150094;C0087031;1
514;1235;C1843181;0
7721;84314;C4539714;1
1797;2308;C0752122;0
4900;6712;C0752124;1
5088;55812;C1850598;0
7388;81704;C0220744;0
5021;6908;C0796074;1
6374;10939;C0752124;1
5840;6311;C0346153;0
22;10019;C0345967;0
7479;65055;C3553656;1
5566;7545;C0265534;1
2379;2998;C2239176;1
7775;85378;C3278481;1
5605;7965;C4693912;1
3488;4654;C0235833;1
3652;4851;C0004114;1
3741;440435;C0024305;0
4514;6121;C0917796;1
4894;54902;C0265251;0
5636;596;C0410207;0
5454;7403;C0279702;1
53;71;C1853623;1
7865;90;C0152426;0
8139;392255;C3150968;1
2728;3569;C0019202;1
178;217;C2674838;1
3031;3553;C0524620;0
6812;7248;C0007131;0
7634;84876;C2936694;0
2837;3690;C0004352;1
3414;4595;C0009402;1
2512;2876;C0342482;0
1927;23451;C0003873;0
3999;5309;C0376358;1
1185;1861;C4721509;0
2500;3181;C0002736;1
1433;207;C0023467;0
2426;3090;C0006142;1
8146;440193;C0752120;1
5781;6234;C0015625;0
6163;659;C1708349;0
2225;2632;C0339527;0
1574;2147;C0152423;0
362;1116;C1834558;0
3983;5295;C0376358;1
6429;6844;C0011860;0
3268;4313;C0005684;1
8018;9469;C1846896;0
514;627;C1510586;1
4784;6591;C0238463;1
4945;55129;C0004352;0
7190;55780;C1848213;1
4494;6041;C0376358;1
8009;9451;C0796032;0
1887;23385;C1845052;0
118;10265;C0154832;0
5738;6121;C0038454;0
7258;57152;C0022584;1
6054;9786;C3553264;1
6789;29893;C0085215;1
6128;10002;C0035334;1
5109;7020;C0008924;1
99;1021;C2718078;0
3270;3786;C0949658;0
2754;3572;C1140680;1
4674;5371;C4551624;0
2755;3162;C1858391;0
2590;2911;C3809147;0
4648;6338;C1449842;1
4470;5979;C3501844;1
2540;3265;C2239176;1
3705;4893;C0007131;1
2206;2720;C0085131;1
7180;79621;C0376358;0
976;1639;C0036341;0
5178;5625;C2676742;0
2504;285203;C0376358;0
5258;5718;C0751779;0
577;673;C0206698;1
2334;27031;C0162671;0
3468;4015;C0004352;0
3298;4323;C4722327;1
5096;7015;C4721952;1
6574;7037;C1510586;0
4232;5621;C0376358;1
2276;2784;C1850362;1
