Nr;Entity A;Entity B;Label
291;8314;C0279702;1
292;5770;C4722327;0
293;2184;C0268623;1
294;7015;C0345904;1
295;3265;C0334082;1
296;3918;C0007131;1
297;2558;C1510586;1
298;4361;C0376358;0
299;10273;C0752124;1
300;169792;C0587248;0
301;3479;C0029459;0
302;144568;C1843181;1
303;2743;C1835614;1
304;7098;C0036341;1
305;5155;C4551624;1
306;126;C0546264;0
307;23418;C1840451;0
308;308;C0023467;1
309;3778;C0282160;0
310;2720;C0432272;1
311;83990;C0027819;0
312;2038;C0013902;1
313;7490;C0029463;1
314;5241;C1849699;1
315;2100;C0010346;0
316;2892;C1862939;1
317;9711;C0752120;1
318;4763;C0031511;1
319;4524;C0587248;0
320;6712;C0752121;1
321;5149;C1864900;1
322;23092;C3463824;1
323;7124;C1708349;1
324;10253;C3837958;0
325;118;C0085580;1
326;2516;C0342482;1
327;26278;C0751779;1
328;3991;C3494162;0
329;816;C0036341;1
330;5339;C4721508;0
331;4137;C0011848;0
332;5313;C1136043;0
333;4853;C1956125;1
334;650;C2751544;0
335;2562;C0393591;0
336;23385;C2931891;0
337;54487;C0220704;1
338;2903;C0036341;1
339;348980;C0009405;0
340;2322;C1961102;0
341;7280;C0022336;1
342;84100;C0376358;0
343;8379;C0036341;1
344;78989;C0796032;1
345;2539;C0018203;1
346;5309;C0752124;0
347;9325;C0085215;0
348;4548;C0036341;1
349;8204;C0024306;0
350;6655;C1275081;1
351;203286;C2239176;0
352;2670;C0265221;0
353;1144;C0751884;1
354;54790;C0023467;0
355;5087;C4539968;1
356;57231;C0752122;1
357;1399;C0012236;1
358;8754;C0025286;0
359;9469;C4551479;1
360;3265;C0005684;1
361;9091;C4552072;1
362;27022;C0344559;1
363;867;C3810359;0
364;9672;C1704417;0
365;22926;C0022336;1
366;3854;C0035334;0
367;2064;C0345905;1
368;6812;C0238198;0
369;8878;C0023467;0
370;7153;C0752120;0
371;2263;C0238198;0
372;5728;C0009402;1
373;324;C0699791;1
374;7450;C0001973;1
375;5428;C0005684;0
376;4869;C0024305;1
377;50484;C3810350;0
378;1956;C0029463;1
379;1565;C0006142;1
380;5139;C0038454;1
381;10939;C3151147;0
382;8737;C0009324;0
383;51135;C0024141;1
384;5604;C0587248;1
385;6774;C0376358;1
386;51738;C0152426;1
387;8890;C3501844;0
388;10083;C0265219;0
389;2896;C1619700;0
390;5605;C0087031;0
391;4929;C0042487;0
392;2936;C1868675;1
393;374291;C0025237;0
394;3566;C2239176;0
395;10683;C0006142;0
396;4323;C1708349;0
397;5274;C0345904;0
398;84295;C0265338;1
399;4524;C1866558;1
400;4359;C1644196;0
401;2332;C0036341;1
402;3149;C3806742;1
403;5649;C0027819;0
404;3667;C1168401;1
405;8314;C4310804;0
406;23345;C0001973;0
407;8216;C0476089;0
408;6888;C0036341;0
409;1297;C0345905;0
410;6833;C3837958;1
411;4968;C0009402;0
412;65266;C2678492;1
413;57192;C0023806;1
414;3845;C3645536;0
415;7450;C4721436;0
416;5921;C1843181;1
417;1200;C0002395;1
418;55165;C0006142;0
419;7157;C0345904;1
420;2571;C0004352;1
421;1294;C0079136;1
422;5950;C3463824;0
423;7015;C0206686;1
424;57410;C2697932;0
425;6774;C0004352;0
426;9187;C3495587;1
427;242;C1860789;0
428;9581;C0751883;1
429;7169;C0270911;0
430;673;C0162309;0
431;372;C4310686;1
432;3845;C0376358;1
433;1301;C0432272;1
434;1829;C0035334;0
435;6583;C3536797;0
436;4771;C1136041;1
437;1201;C1720956;0
438;5830;C1839071;0
439;81031;C4707243;1
440;2253;C0220704;1
441;4771;C4048809;1
442;2065;C1858351;0
443;2896;C1850792;1
444;54756;C4554007;0
445;3952;C0002395;1
446;5604;C0003873;0
447;100134444;C0003873;0
448;3777;C0878682;0
449;650;C0265534;1
450;56616;C0376358;1
451;1559;C0750384;1
452;10019;C0007131;0
453;5981;C0376358;0
454;8301;C0023467;1
455;27229;C0026010;0
456;58;C0002395;0
457;5885;C1860789;1
458;2672;C0001973;0
459;5888;C0752124;0
460;1636;C0009402;0
461;5728;C0029459;0
462;29980;C1855079;1
463;6204;C2750081;1
464;151;C0343073;0
465;2562;C0004352;1
466;10653;C1704417;0
467;56916;C0587248;0
468;9581;C0221356;0
469;3145;C2936779;1
470;540;C0265219;0
471;154;C0162872;0
472;27249;C3151303;0
473;4544;C0022716;0
474;3098;C0752123;0
475;3119;C2239176;0
476;10519;C2931009;0
477;1301;C3541456;1
478;29967;C0270952;1
479;2556;C0004352;1
480;3717;C4048328;1
481;7042;C2697932;1
482;472;C0025149;1
483;9509;C0345967;1
484;65217;C0342482;0
485;1956;C0152013;1
486;5111;C1858391;1
487;79803;C3888007;1
488;1758;C3280670;0
489;27030;C0009402;1
490;3553;C1720859;0
491;10815;C0020072;0
492;9378;C1970431;1
493;1352;C0152013;0
494;7468;C0006142;1
495;2898;C0024145;0
496;2248;C2239176;1
497;657;C0206624;0
498;7037;C0024305;1
499;5244;C0566602;1
500;2296;C1866560;1
501;775;C0175707;0
502;5429;C0015625;0
503;596;C0013366;1
504;8452;C0376358;1
505;6925;C0036341;1
506;54902;C3554605;1
507;5649;C1866040;0
508;9364;C0001973;0
509;3417;C0345967;0
510;8120;C1853761;0
511;5921;C4721532;0
512;8660;C0025149;1
513;57216;C1842983;0
514;1906;C3665349;0
515;207;C0029463;1
516;1639;C3551954;0
517;7248;C0751779;1
518;55835;C0010674;0
519;8540;C4552070;0
520;4163;C0004352;1
521;3458;C4552072;0
522;5894;C0348626;0
523;55033;C0268342;1
524;5605;C0028326;1
525;343641;C0752125;1
526;51083;C2936783;0
527;8431;C0028754;1
528;10397;C0279702;1
529;5468;C0004763;1
530;94;C3203102;1
531;471;C0009402;0
532;3107;C1862941;0
533;6855;C2697932;0
534;427;C1800706;0
535;10021;C4707243;1
536;57688;C4693405;1
537;92482;C0006142;0
538;50628;C0751291;0
539;29968;C0152013;1
540;64240;C1866558;0
541;57514;C0004352;0
542;2;C0795907;0
543;6584;C0268579;1
544;3265;C0036341;0
545;5922;C3501846;1
546;554;C1563706;1
547;1487;C3837958;0
548;3458;C1168401;0
549;2122;C4551952;0
550;3458;C0221356;0
551;7414;C0036341;0
552;55967;C1850597;1
553;2064;C0152013;1
554;80025;C0036341;1
555;2053;C0036341;1
556;2332;C0751156;1
557;374654;C1708349;0
558;6591;C2751763;0
559;4729;C0085580;0
560;84433;C0279702;1
561;627;C0268237;0
562;5894;C0030044;0
563;3070;C0152013;1
564;5741;C1856059;0
565;284439;C0019202;0
566;3845;C4520892;0
567;1910;C1838099;1
568;5428;C0238198;0
569;6389;C1850598;1
570;5160;C2931891;1
571;1495;C2239176;0
572;84464;C0023467;1
573;4552;C0752121;0
574;2261;C0751396;0
575;4312;C0733682;0
576;3043;C0345904;0
577;1026;C0279626;1
578;10891;C0752347;1
579;2261;C0006142;0
580;1281;C1504412;0
581;633;C0003873;1
582;23114;C0036341;1
583;29089;C2713442;0
584;2053;C4707243;0
585;5376;C0393702;1
586;8085;C4748137;0
587;55005;C0006142;1
588;25828;C0699791;0
589;100131801;C1140680;0
590;5194;C3554000;1
591;6399;C0019202;0
592;26154;C0009402;1
593;10413;C1168401;1
594;4864;C0376358;0
595;4233;C0023467;1
596;6513;C1851936;1
597;4968;C0751208;1
598;54084;C3553932;1
599;3481;C0009402;1
600;6888;C2239176;1
601;5728;C0004352;1
602;50937;C3179349;1
603;675;C0684249;1
604;7040;C0024117;1
605;23095;C2748542;0
606;5083;C4722327;1
607;2077;C1832175;0
608;1026;C0376358;1
609;27022;C0796250;0
610;790;C0002875;1
611;5245;C1857355;0
612;4214;C1836743;0
613;3458;C0004352;1
614;4143;C3151058;1
615;19;C1844376;0
616;2263;C0025286;0
617;6774;C0232981;0
618;4694;C1856405;0
619;1120;C0027404;1
620;4534;C0546264;1
621;4128;C0751208;1
622;4436;C0476089;1
623;6514;C0432272;0
624;999;C1333991;1
625;54820;C3489396;0
626;7528;C4048328;1
627;5444;C0080178;1
628;6597;C0796074;0
629;6891;C0036341;1
630;3476;C0752121;0
631;7474;C0004352;0
632;2892;C0004352;0
633;5000;C0376358;0
634;2690;C0268568;0
635;3090;C0751291;1
636;8878;C0004352;0
637;138050;C0206698;0
638;6855;C0007131;1
639;23569;C0003873;1
640;54894;C4721532;0
641;5054;C1708349;1
642;2796;C0342384;1
643;1144;C4551479;0
644;5824;C0410174;0
645;23095;C0031511;1
646;5251;C0684249;0
647;1496;C0026654;0
648;79796;C0334634;0
649;6938;C2239176;0
650;10205;C4748374;1
651;23193;C2751306;1
652;546;C1833229;0
653;2316;C1835614;0
654;5443;C0276496;0
655;55699;C2239176;0
656;5290;C2931822;1
657;2130;C0376358;1
658;8504;C1857781;0
659;7474;C4721509;1
660;7965;C0037769;1
661;5994;C1859537;1
662;596;C0006142;1
663;359;C0032580;0
664;3918;C0079297;1
665;355;C2751316;0
666;9568;C0004352;1
667;375790;C0001973;0
668;4524;C2239176;0
669;3752;C1708349;0
670;11315;C1720860;0
671;183;C0035344;1
672;3559;C1843183;0
673;4488;C0010278;1
674;6532;C1148551;0
675;6095;C1858991;0
676;2779;C1850362;1
677;8803;C3489396;0
678;3107;C1867449;1
679;1815;C0009402;0
680;9096;C1840451;1
681;1294;C0268281;0
682;6335;C4551549;1
683;23395;C1704417;0
684;1356;C0476089;0
685;7431;C0006142;1
686;7372;C4225200;0
687;2072;C0023467;1
688;10019;C3837958;1
689;5518;C0276496;0
690;2056;C1510586;0
691;9719;C1621958;0
692;6690;C0376358;1
693;4878;C2677294;1
694;841;C1961102;1
695;2778;C0001206;1
696;83990;C0023467;1
697;1499;C0242387;0
698;51256;C0206686;0
699;51741;C0276496;1
700;23530;C0342482;1
701;10395;C1140680;1
702;8842;C0376358;0
703;31;C2239176;1
704;4306;C0001973;0
705;596;C2239176;0
706;27030;C2936783;1
707;4091;C0036341;0
708;2898;C1621958;1
709;4137;C2239176;1
710;5443;C0410480;1
711;7042;C0345967;1
712;6583;C0087031;0
713;10262;C0036341;0
714;6329;C4225362;0
715;1282;C0265962;0
716;330;C0334634;1
717;23171;C3149378;0
718;8216;C0020474;0
719;4318;C0024117;1
720;284217;C0036341;1
721;2876;C0276496;0
722;5468;C0013366;0
723;5058;C0279702;1
724;7038;C0677607;1
725;26047;C0028754;0
726;54209;C0795907;0
727;79783;C4722327;1
728;22909;C0009405;1
729;8443;C0036341;1
730;4359;C0007959;1
731;2678;C0023264;0
732;2052;C2239176;1
733;894;C0004352;0
734;1471;C0206711;0
735;846;C4551961;1
736;8912;C0005283;1
737;51085;C0029459;0
738;5443;C0009402;0
739;4853;C1860789;0
740;7139;C0700053;1
741;10347;C0006142;0
742;1509;C0279702;1
743;9187;C1848172;1
744;1371;C0087031;0
745;658;C1168401;0
746;6010;C4552079;0
747;5096;C1449563;1
748;84879;C2239176;1
749;5357;C0345904;1
750;1778;C3501843;1
751;9786;C1449563;0
752;7015;C1140680;1
753;53335;C0346153;0
754;7421;C0007131;0
755;6697;C1851920;1
756;27019;C4225411;0
757;1545;C0265535;0
758;2178;C0271979;0
759;23476;C1858991;0
760;6898;C0268623;1
761;6899;C0036341;1
762;6229;C4692845;0
763;25836;C1853099;1
764;2706;C0025221;1
765;4705;C0008312;0
766;57190;C4722327;0
767;2260;C2752089;0
768;1641;C0431375;1
769;3596;C0004352;1
770;343641;C0006142;0
771;10128;C2751306;0
772;5243;C1846784;0
773;7436;C0087031;0
774;2906;C0036341;1
775;6261;C0011860;0
776;3728;C1832600;1
777;3273;C0006142;1
778;6337;C1449842;1
779;374291;C0023264;1
780;3284;C0376358;1
781;2006;C0279626;0
782;336;C1704417;1
783;107;C0149925;1
784;2067;C1708349;1
785;841;C0751337;0
786;182;C0025149;0
787;1499;C0279626;1
788;5160;C0752121;0
789;3559;C3837958;1
790;5495;C0796117;0
791;5741;C3151230;0
792;55163;C0036341;1
793;57545;C0730295;0
794;81839;C0265219;0
795;25861;C2748542;0
796;7428;C0030421;1
797;4297;C4552100;0
798;2068;C0009402;1
799;2146;C0029463;1
800;5290;C0024117;0
801;55636;C2676042;0
802;2697;C1862939;0
803;7351;C0028754;1
804;590;C1622434;1
805;1013;C0001973;1
806;6834;C0376358;0
807;10644;C4310805;0
808;9037;C0004352;1
809;7291;C0345967;0
810;60482;C0015625;0
811;4437;C1333990;1
812;54982;C0268281;1
813;1588;C0036341;0
814;5889;C0376358;0
815;54894;C0206698;1
816;7040;C0265287;1
817;10397;C4551804;0
818;2147;C0752123;0
819;50964;C0013366;1
820;23476;C0887850;1
821;8314;C0345905;1
822;54704;C0206698;0
823;4191;C0030421;1
824;59341;C4551479;1
825;2811;C3463824;0
826;238;C0279702;1
827;171023;C3463824;1
828;4790;C0011860;1
829;5265;C0024117;1
830;7157;C0428791;1
831;4036;C0036341;1
832;7273;C1837342;1
833;291;C0025286;0
834;55904;C0004352;1
835;6310;C0276496;0
836;55687;C1838854;1
837;116369;C2750473;0
838;8516;C0036341;1
839;7015;C0028754;0
840;1969;C0175704;1
841;4625;C0152423;0
842;9851;C0431399;1
843;9711;C0752123;1
844;8314;C3463824;0
845;9474;C0002395;0
846;875;C1708349;0
847;27022;C1510586;0
848;6531;C1263846;1
849;1956;C1845987;0
850;732;C1855869;0
851;8540;C0036341;0
852;7351;C0345904;0
853;6597;C0029456;0
854;208;C0025237;0
855;6569;C1850362;0
856;90411;C1850597;0
857;5894;C4551952;0
858;10273;C0752121;1
859;5371;C3151037;0
860;4893;C0994516;0
861;2697;C0752120;0
862;50814;C0006142;0
863;4311;C0268390;1
864;2138;C0175704;0
865;85476;C1850598;1
866;6616;C0011860;1
867;10413;C2239176;1
868;9702;C3837958;0
869;5698;C0036069;0
870;9378;C1510586;1
871;7097;C0009402;1
872;2260;C0008924;1
873;5443;C1956097;0
874;3553;C1708349;1
875;2100;C0036341;1
876;51428;C0376358;0
877;4594;C1260899;0
878;5925;C0376358;1
879;355;C0752125;0
880;4645;C4748348;0
881;54768;C1708349;0
882;8085;C0279626;1
883;144568;C0025149;0
884;4010;C0036341;1
885;6342;C1858991;1
886;2332;C4552079;1
887;596;C1861098;0
888;4000;C0751337;1
889;8085;C0036920;1
890;1959;C0035372;1
891;1909;C0152423;1
892;55172;C0152426;0
893;2771;C0340485;1
894;2316;C4707243;1
895;51294;C0341703;0
896;1723;C0037889;1
897;7374;C2700553;0
898;55605;C0001973;0
899;4538;C0154832;0
900;4915;C0027819;1
901;3265;C3203102;0
902;7128;C0003873;1
903;111;C0029456;1
904;64374;C0376358;1
905;196;C1708349;1
906;4780;C0376358;1
907;1758;C1862103;1
908;6323;C4552072;1
909;6201;C1260899;1
910;4835;C0007131;0
911;5959;C0339535;1
912;4851;C1961102;0
913;5245;C0276496;0
914;367;C2675185;0
915;161742;C0345967;0
916;3756;C0006142;1
917;79791;C4721893;0
918;1277;C0029456;1
919;7037;C0036920;0
920;4669;C1802395;0
921;3690;C0376358;1
922;166378;C0036341;1
923;55505;C0265965;1
924;3845;C4551602;1
925;84231;C0345967;1
926;23236;C3150988;1
927;11200;C4722327;1
928;23512;C1857821;0
929;84464;C0279626;0
930;65266;C0751884;0
931;55120;C0917796;0
932;5156;C1867450;0
933;2261;C1708349;0
934;3991;C0566602;0
935;24140;C1140680;0
936;6948;C0029459;0
937;773;C3463824;0
938;5468;C1720860;1
939;5770;C1840452;0
940;80704;C1850597;1
941;472;C4041558;0
942;4128;C0020523;0
943;116442;C0004352;1
944;2784;C0028754;1
945;9215;C4084842;0
946;4915;C0028754;1
947;1282;C0028754;0
948;1106;C1708349;0
949;5230;C2239176;1
950;2316;C1845235;1
951;10771;C4015167;1
952;3339;C0752120;0
953;79867;C0751036;0
954;204;C2700553;1
955;861;C0027819;0
956;2908;C0752123;0
957;7994;C0004352;0
958;7837;C0035334;0
959;8216;C0027819;0
960;1281;C4707243;1
961;6833;C0008924;0
962;1717;C0009324;0
963;5993;C2751493;0
964;3586;C1846175;0
965;3569;C0010346;1
966;2735;C0238198;1
967;596;C0004352;1
968;1495;C0009405;1
969;841;C0006142;1
970;582;C4721952;0
971;9742;C1838429;0
972;57017;C1168401;0
973;4353;C2239176;1
974;2165;C0042487;1
975;338;C0004943;1
976;4851;C0005684;1
977;3417;C0279626;0
978;7431;C1865370;0
979;116150;C4693371;1
980;7080;C0007131;1
981;1788;C1510586;1
982;7189;C0004352;0
983;1861;C0376358;0
984;2627;C0376358;0
985;4744;C1862941;1
986;55036;C0751291;0
987;344;C0152013;0
988;10653;C0152426;1
989;79728;C1333991;1
990;5961;C0006413;0
991;54870;C0005684;0
992;1910;C0025149;0
993;1021;C1621958;1
994;4914;C2751092;0
995;1499;C4048328;1
996;79621;C1136042;0
997;1906;C4721952;0
998;1282;C0265341;1
999;50943;C0003873;1
1000;6513;C0345904;1
1001;7291;C1708349;1
1002;1495;C0279626;0
1003;79728;C0035344;0
1004;150094;C0087031;1
1005;1235;C1843181;0
1006;84314;C4539714;1
1007;2308;C0752122;0
1008;6712;C0752124;1
1009;55812;C1850598;0
1010;81704;C0220744;0
1011;6908;C0796074;1
1012;10939;C0752124;1
1013;6311;C0346153;0
1014;10019;C0345967;0
1015;65055;C3553656;1
1016;7545;C0265534;1
1017;2998;C2239176;1
1018;85378;C3278481;1
1019;7965;C4693912;1
1020;4654;C0235833;1
1021;4851;C0004114;1
1022;440435;C0024305;0
1023;6121;C0917796;1
1024;54902;C0265251;0
1025;596;C0410207;0
1026;7403;C0279702;1
1027;71;C1853623;1
1028;90;C0152426;0
1029;392255;C3150968;1
1030;3569;C0019202;1
1031;217;C2674838;1
1032;3553;C0524620;0
1033;7248;C0007131;0
1034;84876;C2936694;0
1035;3690;C0004352;1
1036;4595;C0009402;1
1037;2876;C0342482;0
1038;23451;C0003873;0
1039;5309;C0376358;1
1040;1861;C4721509;0
1041;3181;C0002736;1
1042;207;C0023467;0
1043;3090;C0006142;1
1044;440193;C0752120;1
1045;6234;C0015625;0
1046;659;C1708349;0
1047;2632;C0339527;0
1048;2147;C0152423;0
1049;1116;C1834558;0
1050;5295;C0376358;1
1051;6844;C0011860;0
1052;4313;C0005684;1
1053;9469;C1846896;0
1054;627;C1510586;1
1055;6591;C0238463;1
1056;55129;C0004352;0
1057;55780;C1848213;1
1058;6041;C0376358;1
1059;9451;C0796032;0
1060;23385;C1845052;0
1061;10265;C0154832;0
1062;6121;C0038454;0
1063;57152;C0022584;1
1064;9786;C3553264;1
1065;29893;C0085215;1
1066;10002;C0035334;1
1067;7020;C0008924;1
1068;1021;C2718078;0
1069;3786;C0949658;0
1070;3572;C1140680;1
1071;5371;C4551624;0
1072;3162;C1858391;0
1073;2911;C3809147;0
1074;6338;C1449842;1
1075;5979;C3501844;1
1076;3265;C2239176;1
1077;4893;C0007131;1
1078;2720;C0085131;1
1079;79621;C0376358;0
1080;1639;C0036341;0
1081;5625;C2676742;0
1082;285203;C0376358;0
1083;5718;C0751779;0
1084;673;C0206698;1
1085;27031;C0162671;0
1086;4015;C0004352;0
1087;4323;C4722327;1
1088;7015;C4721952;1
1089;7037;C1510586;0
1090;5621;C0376358;1
1091;2784;C1850362;1
1092;4846;C0024117;1
1093;894;C4012727;1
1094;3767;C4554007;0
1095;2936;C0729264;0
1096;5332;C1850598;0
1097;3047;C0009405;0
1098;6337;C0004943;0
1099;3814;C1168401;1
1100;134218;C3808553;1
1101;1303;C0345967;1
1102;55967;C0019569;0
1103;3295;C0043459;1
1104;1144;C4084823;1
1105;23435;C0543859;1
1106;3553;C0009402;0
1107;238;C0007131;1
1108;1027;C1333990;1
1109;7421;C0007785;1
1110;778;C4041558;1
1111;9131;C0751208;1
1112;4724;C2931891;1
1113;1292;C0032914;0
1114;55811;C0342639;1
1115;4158;C1857355;0
1116;2202;C0025149;0
1117;5424;C1720779;0
1118;3458;C0036341;1
1119;7099;C0009402;1
1120;2516;C0752121;0
1121;2624;C1704423;1
1122;4035;C0036341;1
1123;9464;C4551702;0
1124;1027;C0023467;0
1125;7062;C1621958;0
1126;1687;C0009402;0
1127;54822;C0028754;0
1128;3559;C2700553;1
1129;2773;C0036341;0
1130;7468;C0007131;0
1131;23400;C0006142;0
1132;2798;C3489396;1
1133;6578;C4284790;0
1134;9897;C4551776;1
1135;10020;C0018818;0
1136;6774;C0149925;0
1137;779;C0006142;0
1138;23400;C1850598;0
1139;4091;C0006142;0
1140;3119;C1720860;0
1141;125;C0028754;1
1142;2735;C1708349;0
1143;2064;C0206698;1
1144;7157;C4748488;1
1145;84876;C0346402;0
1146;3479;C0002395;1
1147;65266;C1449842;1
1148;9885;C0752120;0
1149;1719;C1720860;0
1150;57572;C2931779;1
1151;3479;C0006142;1
1152;80184;C0006142;0
1153;3123;C0079770;1
1154;1109;C4551902;0
1155;55967;C4707243;0
1156;10734;C0085215;1
1157;51095;C4310776;1
1158;23476;C0004352;0
